titulo,instagram,horario,menu,latitude,longitude
A vida é bela,avidaebela.cafe ,Terça a Sábado - 14h às 20h,imagens/a-vida-e-bela.png,-8.05013240889161, -34.95860768857569
Artisano café e cozinha,artisanocafe ,"Segunda a Quinta - 12h às 20h
Sextas - 12h às 21h
Sábados - 15h às 21h
Domingos 15h às 20h",imagens/artisano.png,-8.0515953250438, -34.909794673230785
Aurora café,auroracafe.recife ,Conferir horário do Museu Paço do Frevo,imagens/aurora-cafe.png,-8.061159360596644, -34.87160533275631
Café com dengo,cafecomdengo ,Segunda a Sábado - 11h30 às 20h,imagens/cafe-com-dengo.png,-8.03629104822577, -34.899376359739556
Café de bule,cafedebule ,"Segunda a Sexta - 14h às 21h
Sábados - 16h às 21h",imagens/cafe-no-bule.png,-9.398369527289379, -40.49894510020595
Café com prosa,cafemaisprosa ,"Segunda a sexta - 14h às 21h
Sábado e domingo - 15h às 21h",imagens/cafe-mais-prosa.png,-8.043438335364826, -34.8931667597394
Castigliani,castigliani ,Todos os dias - 13h às 20h,imagens/castigliani.png,-8.032140369743894, -34.9132939443947
Coffee cube,coffeecubebr ,"Domingo a Quinta - 12h às 22h
Sexta e Sábado - 12h às 23h",imagens/coffee-cube.png,-8.044271484819038, -34.90773184439447
Contém café,contem.cafe ,"Segunda a Sexta - 14h30 às 20h
Sábados e Domingos - 08h às 13h (café da manhã) e 15h às 20h",imagens/contem-cafe.png,-8.033988652962014, -34.885913986722095
Ernest café bistrô,ernestcafebistro ,"Segunda a Sexta - 11h às 20h
Sábado - 15h às 20h (apenas a partir de 05/nov)
Domingo - 9h às 12h | 15h às 20h (apenas a partir de 05/nov)",imagens/ernest-cafe-bistro.png,-8.045526714586952, -34.895048957109225
Fervo coffee shop,fervocoffeeshop ,"Terça e quarta - 16h às 22h
Quinta - 16h às 00h
Sexta e Sábado - 16h às 01h
Domingo - 16h às 22h",imagens/fervo-coffee.png,-8.139416065810762, -34.907598644394014
Fridda café,friddacafe ,"Terça a Sexta - 15h às 21h
Sábados e Domingos -9h às 21h",imagens/fridda-cafe.png,-8.19236494257081, -34.9222297309024
Grão cheff,graocheffcafes ,"Segunda a Sexta - 10h às 20h
Sábado e Domingo - 14h às 20h",imagens/grao-cheff.png,-8.045438752771899, -34.89380956741169
Kaffe,kaffe.tt ,"Segunda a Sábado - 11h30 às 19h
Domingo - 14h às 19h",imagens/kaffe.png,-8.108479211672766, -34.89039845973919
Lalá,lala.cafe ,"Segunda a Sexta - 12h às 20h
Sábado e Domingo - 9h às 13h [brunch] | 15h às 21h ",imagens/lala.png,-8.044508829054537, -34.899580803920315
Livraria da praça de Casa Forte,livrariadapraca ,Segunda a sexta - 8h as 20h,imagens/livraria-praca-casa-forte.png,-8.034071576539324, -34.919515044394714
O melhor cantinho da cidade,omelhorcantinhodacidade ,Sábados e feriados - 10h as 19h,imagens/o-melhor-cantinho-cidade.png,-8.049910501223723, -34.95801581555844
Olinda café,olindacafe_ ,Domingos - 11h as 20h,imagens/olinda-cafe.png,-7.99218622486877, -34.839122815558554
Palatsi,palatsirecife ,Segunda a Sexta - 7h30 às 20h,imagens/palatsi.png,-8.064596516853813, -34.896697986722266
Santa Clara café,santaclararecife ,Sábado e Domingo - 15h às 20h,imagens/santa-clara-gracas.png,-8.048289484722805, -34.90129377508412
Santa Clara café,santaclararecife ,Todos os dias - 08h às 21h,imagens/santa-clara-parnamirim.png,-8.03308912308165, -34.90868390206719
Tokyo’s café,tokyosrecife ,De terça a domingo de 14:00 as 22:00,imagens/tokyos.png,-8.038317432149212, -34.90097141741184
Versado,versadocafe ,Segunda a Sábado - 10h às 19h,imagens/versado.png,-8.045285868873243, -34.89783485788617
Xêro café e arte,xerocafe ,"Terça a Sábado - 16h30 às 21h
Domingo - 16h às 20h",imagens/xero.png,-8.006161963492104, -34.84364573090327
Zoco café e delícias,cafezoco,Terça a Domingo - 15h às 20h30,imagens/zoco.png, -7.9892575, -34.8405186
